City,ID,lat,lng
Freetown Christiania,11,55.6734,12.5964
Meredith,29,-37.86737115,144.033786
Gothenburg,32,57.7089,11.9746
Lund,33,55.7047,13.191
Feyzin,36,45.6738,4.85831
Oporto,39,41.1579,-8.61032
Upper Darby,64,39.9284459,-75.2737955
Arcosanti,69,34.3427822,-112.1006307
Morrison,78,39.6512702,-105.1972764
Paredes de Coura,83,41.9184521,-8.569518264
Sestri Levante,84,44.26773845,9.392256732
Castelbuono,85,37.931953,14.088562
Randalls Island,88,40.7967677,-73.9220815
Ponte Vedra Beach,91,30.16736605,-81.36928133
McDade,97,30.2317127,-97.166326
Hilvarenbeek,121,51.4862924,5.1379984
Oporto,125,41.15015,-8.61032
Ramonville-Saint-Agne,126,43.5460533,1.4749101
Nîmes,128,43.8374249,4.3600687
San Pedro,139,33.7358518,-118.2922934
Pioneertown,140,34.15639995,-116.4930466
Montreal,159,5.508888,-73.561668
Fremantle,167,-33.2733333,149.3344444
Osaka,177,34.6937569,135.5014539
Oporto,187,41.1579,-8.61032
Gothenburg,198,57.7072326,11.9670171
Reykjavik,200,64.15043785,-21.93288663
Glasgow,209,55.8611443,-4.2501693
Belfast,211,54.5964411,-5.9302761
Saxapahaw,214,35.9466083,-79.3190625
Millvale,237,40.4805533,-79.9725086
Quebec City,244,46.8259601,-71.2352226
Montreal,245,5.508888,-73.561668
montreal,246,5.508888,-73.561668
Salisbury,259,51.0690613,-1.7954134
São Paulo,268,-23.5506507,-46.6333824
Gothenburg,273,57.7089,11.9746
Montreal,275,5.508888,-73.561668
Nyon,277,46.3759907,6.1913819
Southwold,278,52.3266586,1.6794539
Benicassim,280,40.04870295,0.046646554
Randalls Island,286,40.7967677,-73.9220815
Marfa,291,30.3134964,-104.0217161
Big Sur,293,36.7014631,-118.7559974
Avilés,303,43.5554436,-5.9222466
Oporto,304,41.1579,-8.61032
Osaka,313,34.6937569,135.5014539
Bangalow,314,-30.3546478,152.5640595
Marion Bay,319,-35.238043,136.9790673
Lorne,320,-38.5411691,143.9748166
Prague,328,50.0874654,14.4212535
Glasgow,340,55.8611443,-4.2501693
Belfast,343,54.5964411,-5.9302761
Montreal,347,5.508888,-73.561668
Salisbury,370,51.0690613,-1.7954134
Saint-Cloud,374,48.8437412,2.219344
Millvale,377,40.4805533,-79.9725086
Oporto,392,41.1579,-8.61032
Feyzin,394,45.6738,4.85831
Kortrijk,404,50.8276429,3.2659884
Reykjavik,415,64.145981,21.9422367
Yuzawa,416,39.1643018,140.4957467
Salacgriva,420,57.7567573,24.3570447
Hultfred,421,57.4898352,15.8428142
George,422,47.1009943,-119.9953794
Mullumbimby,443,-28.5483333,153.5011111
Glasgow,451,55.8611443,-4.2501693
Zurich,453,47.3723941,8.5423328
Lund,460,55.7047,13.191
Montreal,484,5.508888,-73.561668
Morrison,487,39.6512702,-105.1972764
Erlangen,493,49.5981187,11.003645
Schorndorf,494,48.8055169,9.5272665
Gothenburg,498,57.7089,11.9746
Haldern,499,51.7749048,6.4592717
Montreal,500,5.508888,-73.561668
Sesimbra,504,38.4960567,-9.119097388
Segrate,506,45.4907352,9.2948204
Bloemendaal,507,52.4036594,4.6197687
Montreux,509,46.4310831,6.9129921
Pilton,513,51.1657413,-2.5864648
Montreal,547,5.508888,-73.561668
Guimarães,551,41.4417677,-8.2955712
Zurich,557,47.3723941,8.5423328
Gothenburg,560,57.7089,11.9746
Sint-Joost-ten-Noode / Saint-Josse-ten-Noode,567,50.8508197,4.3691634
Ghent,568,51.0538286,3.7250121
Saint-Malo,570,48.6454528,-2.015418
Cardiff,572,51.4816546,-3.1791934
Belfast,573,54.5964411,-5.9302761
Glasgow,577,55.8611443,-4.2501693
Crickhowell,591,51.859112,-3.138355
Haverford,601,40.01162125,-75.30620121
Malmö,609,55.6052931,13.0001566
Montreal,623,5.508888,-73.561668
Big Sur,626,36.7014631,-118.7559974
Fremantle,630,-33.2733333,149.3344444
Sint-Joost-ten-Noode / Saint-Josse-ten-Noode,657,50.8508197,4.3691634
